HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,ForecastDate,yhat,yhat_lower,yhat_upper
S08000015,NHS Ayrshire & Arran,AR,Specialty (AR),New Outpatient,2026-09-01,84.18,61.47,100.0
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,Inpatient/Day case,2026-04-01,70.82,47.52,92.35
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,Inpatient/Day case,2026-05-01,76.53,51.94,97.86
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,Inpatient/Day case,2026-06-01,79.34,56.47,100.0
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,Inpatient/Day case,2026-07-01,80.03,57.86,100.0
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,Inpatient/Day case,2026-08-01,79.76,57.34,100.0
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,Inpatient/Day case,2026-09-01,79.47,57.01,100.0
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,New Outpatient,2026-04-01,65.61,55.94,74.85
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,New Outpatient,2026-05-01,68.71,59.3,77.95
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,New Outpatient,2026-06-01,70.65,60.42,80.7
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,New Outpatient,2026-07-01,71.73,62.39,81.06
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,New Outpatient,2026-08-01,71.47,61.95,81.12
S08000015,NHS Ayrshire & Arran,C11,Cardiac Surgery,New Outpatient,2026-09-01,71.22,61.96,80.72
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,Inpatient/Day case,2026-04-01,36.97,20.68,53.07
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,Inpatient/Day case,2026-05-01,42.64,25.48,59.62
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,Inpatient/Day case,2026-06-01,43.31,26.56,59.22
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,Inpatient/Day case,2026-07-01,44.12,27.27,60.37
S08000015,NHS Ayrshire & Arran,C12,Thoracic Surgery,Inpatient/Day case,2026-08-01,40.76,24.59,57.99
