HBT,HealthBoardName,Specialty,SpecialtyName,PatientType,RiskRating,PriorityScore,CurrentPctOver12Weeks,PeakForecast,MeanForecast,FinalForecast,ForecastUncertainty,ForecastDateMax,TrendDirection,TrendSlope,CurrentMedianWaitWeeks,Current90thPctWaitWeeks,NumberWaiting,NumberWaitingOver12Weeks,Additions,Removals,NetPressure
S08000026,NHS Shetland,C5,Gynaecology,New Outpatient,RED,2.7,43.0,66.94,64.5,64.17,48.46,2026-09-01,Improving,-5.64,63.5,266.8,100.0,43.0,131.0,168.0,-37.0
S08000026,NHS Shetland,C5,Gynaecology,Inpatient/Day case,RED,2.7,54.76,52.75,49.36,49.78,50.84,2026-09-01,Improving,-5.64,97.5,207.9,42.0,23.0,15.0,17.0,-2.0
S08000016,NHS Borders,A2,Specialty (A2),New Outpatient,RED,2.7,54.31,82.3,78.26,82.3,35.26,2026-09-01,Improving,-2.75,103.5,225.0,348.0,189.0,207.0,369.0,-162.0
S08000015,NHS Ayrshire & Arran,Z9,All Specialties,New Outpatient,RED,2.7,46.51,75.01,72.85,74.93,24.69,2026-09-01,Improving,-2.42,77.0,231.0,40538.0,18856.0,34817.0,41399.0,-6582.0
S08000015,NHS Ayrshire & Arran,Z9,All Specialties,Inpatient/Day case,RED,2.7,52.34,73.09,70.64,70.12,25.35,2026-09-01,Improving,-1.3,101.0,349.0,9021.0,4722.0,6394.0,5757.0,637.0
S08000015,NHS Ayrshire & Arran,J4,Specialty (J4),New Outpatient,RED,2.7,35.64,69.01,65.9,66.73,36.99,2026-09-01,Improving,-4.24,53.0,172.0,101.0,36.0,189.0,226.0,-37.0
S08000015,NHS Ayrshire & Arran,J4,Specialty (J4),Inpatient/Day case,RED,2.7,,88.45,78.05,78.88,58.67,2026-08-01,Improving,-18.66,,,,,4.0,5.0,-1.0
S08000016,NHS Borders,CA,Specialty (CA),New Outpatient,RED,2.7,28.0,88.4,84.32,87.15,35.2,2026-09-01,Improving,-4.13,50.0,186.6,25.0,7.0,22.0,53.0,-31.0
S08000016,NHS Borders,CA,Specialty (CA),Inpatient/Day case,RED,2.7,33.33,88.22,83.48,83.32,43.51,2026-09-01,Improving,-4.3,36.0,132.0,21.0,7.0,15.0,6.0,9.0
S08000016,NHS Borders,C8,Neurosurgery,New Outpatient,RED,2.7,64.7,83.79,79.63,83.79,26.04,2026-09-01,Improving,-1.02,134.0,251.0,1456.0,942.0,564.0,870.0,-306.0
S08000016,NHS Borders,C8,Neurosurgery,Inpatient/Day case,RED,2.7,56.26,86.84,84.77,86.84,36.55,2026-09-01,Improving,-0.93,111.0,277.0,951.0,535.0,413.0,304.0,109.0
S08000016,NHS Borders,C7,Orthopaedics,New Outpatient,RED,2.7,27.19,88.41,81.93,83.3,34.9,2026-09-01,Improving,-6.23,49.0,160.2,809.0,220.0,865.0,785.0,80.0
S08000016,NHS Borders,C5,Gynaecology,Inpatient/Day case,RED,2.7,55.43,95.26,91.92,95.26,28.42,2026-09-01,Improving,-3.11,124.0,316.0,184.0,102.0,75.0,143.0,-68.0
S08000016,NHS Borders,C11,Cardiac Surgery,New Outpatient,RED,2.7,47.97,85.87,82.4,85.87,28.89,2026-09-01,Improving,-3.05,82.0,209.0,938.0,450.0,875.0,1013.0,-138.0
S08000026,NHS Shetland,C13,Specialty (C13),New Outpatient,RED,2.7,50.0,61.72,53.98,61.2,46.07,2026-09-01,Improving,-3.65,87.0,324.2,62.0,31.0,37.0,93.0,-56.0
S08000026,NHS Shetland,C13,Specialty (C13),Inpatient/Day case,RED,2.7,57.45,79.64,73.96,77.68,45.33,2026-09-01,Improving,-4.65,131.0,418.8,47.0,27.0,19.0,23.0,-4.0
